animeID,title,genres
40542,Saiki Kusuo no Ψ-nan: Shidou-hen,"Slice of Life,Comedy,Supernatural,School,Shounen"
40542,Saiki Kusuo no Ψ-nan: Shidou-hen,"Slice of Life,Comedy,Supernatural,School,Shounen"
40540,Sword Art Online: Alicization - War of Underworld 2nd Season,"Action,Game,Adventure,Romance,Fantasy"
40539,Ichigo no Hanayome-san,"Kids,Music"
40532,Appare-Ranman!,Historical
40531,Akai Yama Aoi Yama Shiroi Yama,"Kids,Music"
40530,Jaku-Chara Tomozaki-kun,"Harem,Drama,Romance,School"
40530,Jaku-Chara Tomozaki-kun,"Harem,Drama,Romance,School"
40529,No Guns Life 2nd Season,"Action,Sci-Fi,Seinen"
40529,No Guns Life 2nd Season,"Action,Sci-Fi,Seinen"
40527,Smile,"Kids,Music"
40526,"Dragon,Ie wo Kau.","Comedy,Fantasy,Shounen"
40523,"Yamasuki,Yamazaki","Dementia,Music"
40521,Kiss Hug,Hentai
40521,Kiss Hug,Hentai
40520,Chii-chan Kaihatsu Nikki,Hentai
40519,Youma Shoukan e Youkoso,"Demons,Fantasy,Hentai,Supernatural"
40517,Ano Hi no Kokoro wo Toraete,"Sci-Fi,Drama"
40515,Nihon Chinbotsu 2020,"Sci-Fi,Drama"
40515,Nihon Chinbotsu 2020,"Sci-Fi,Drama"
40513,Nami yo Kiitekure,"Comedy,Drama,Romance,Seinen"
40513,Nami yo Kiitekure,"Comedy,Drama,Romance,Seinen"
40509,Kimi no Tonari ni Itai Kara,"Music,School"
40508,Anata no Koe,"Music,Slice of Life"
40507,Arifureta Shokugyou de Sekai Saikyou 2nd Season,"Action,Adventure,Harem,Fantasy"
40506,Shadowverse (TV),"Fantasy,Game"
40506,Shadowverse (TV),"Fantasy,Game"
40504,Major 2nd 2nd Season,"Comedy,Sports,Drama,Shounen"
40504,Major 2nd 2nd Season,"Comedy,Sports,Drama,Shounen"
40502,Yanoya,Music
40499,Feed,"Dementia,Music"
40497,Mahouka Koukou no Rettousei: Raihousha-hen,"Action,Magic,Romance,School,Sci-Fi,Supernatural"
40497,Mahouka Koukou no Rettousei: Raihousha-hen,"Action,Magic,Romance,School,Sci-Fi,Supernatural"
40496,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso,Tensei shite Shison-tachi no Gakkou e ","Fantasy,Magic,School"
40496,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso,Tensei shite Shison-tachi no Gakkou e ","Fantasy,Magic,School"
40495,Tayo-ui Gonglyong Eodeubencheo,"Cars,Historical,Kids"
40489,Sword Art Online: Alicization - War of Underworld Reflection,"Action,Game,Adventure,Romance,Fantasy"
40488,Futsal Boys!!!!!,Sports
40487,Eily wa Ou-sama!,"Comedy,Fantasy,Magic"
40486,Strike the Blood: Kieta Seisou-hen,"Action,Supernatural,Ecchi,Vampire,Fantasy"
40486,Strike the Blood: Kieta Seisou-hen,"Action,Supernatural,Ecchi,Vampire,Fantasy"
40485,Strike the Blood IV,"Action,Supernatural,Ecchi,Vampire,Fantasy"
40485,Strike the Blood IV,"Action,Supernatural,Ecchi,Vampire,Fantasy"
40483,Murenase! Seton Gakuen,"Comedy,School"
40483,Murenase! Seton Gakuen,"Comedy,School"
40482,Osu no Buu-chan,"Comedy,Kids,Fantasy"
40480,Sound & Fury,"Sci-Fi,Music,Samurai"
40480,Sound & Fury,"Sci-Fi,Music,Samurai"
40479,Karrimor Mountain Club 2,"Adventure,Slice of Life"
40478,Kamiusagi Rope x Ricordi,"Comedy,Slice of Life"
40477,Curry Meshi x Zombieland Saga,"Music,Supernatural"
40476,Atomic World,"Dementia,Music"
40474,Googuri Googuri,"Fantasy,Music"
40473,Chou Futsuu Toshi Kashiwa Densetsu,"Comedy,Fantasy"
40472,Boku to Joi no Shinsatsu Nisshi The Animation,Hentai
40472,Boku to Joi no Shinsatsu Nisshi The Animation,Hentai
40471,Nozoki Kanojo,Hentai
40468,Smileflower,"Kids,Music"
40465,Chuubyou Gekihatsu Boy Special,"Slice of Life,Comedy,School"
40463,Kimi no Kimochi,"Kids,Music"
40462,Ensemble Stars! Recap Special,"Music,School,Shoujo"
